Reference,DOI,Group,Phylum,Order,Family,Species,Light,Water,Series,Day,Mean,SEM,N,Response,Method,Unit,Source
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.010416667,155.3908795,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.020833333,157.9315961,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.03125,157.7198697,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.041666667,140.6758958,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.083333333,135.3827362,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.125,120.2442997,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.166666667,114.9511401,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.208333333,98.64820847,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,1,0.25,99.28338762,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.010416667,131.2540717,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.020833333,155.8143322,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.03125,151.3680782,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.041666667,154.5439739,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.083333333,143.7459283,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.125,130.8306189,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.166666667,96.53094463,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,2,0.208333333,83.40390879,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
