Review,DOI,Data,Reference,DOI_original,Order,Species,Kelp,Wrack,Dissolved,Smallscale,Prekilled,Buried,Anoxic,Lab,Darkness,k
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0295
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0321
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0076
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0082
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0038
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0076
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0035
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Twilley et al. 1986,10.2307/3566045,Ulvales,Ulva lactuca,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.023
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0295
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0321
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0076
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0076
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0038
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0082
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0035
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Peckol & Rivers 1996,10.1006/ecss.1996.0072,Cladophorales,Cladophora vagabunda,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0076
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Josselyn & Mathieson 1980,10.1007/bf03216236,Fucales,Fucus vesiculosus,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.031
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Sfriso & Marcomini 1997,10.1016/S0141-1136(97)00012-3,Ulvales,Ulva rigida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.023
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Twilley et al. 1986,10.2307/3566045,Ulvales,Ulva lactuca,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.023
