Reference,DOI,Species,Variable,Flux,Source
Björk et al. 1997,10.1007/s002270050176,Halophila ovalis,Light-saturated net photosynthesis,58.1294964,Figure 1
Masini & Manning 1997,10.1016/S0304-3770(97)00008-9,Amphibolis antarctica,Light-saturated net photosynthesis,8.713365367,Figure 2e
Masini & Manning 1997,10.1016/S0304-3770(97)00008-9,Amphibolis antarctica,Light-saturated net photosynthesis,10.14963438,Figure 2e
Masini & Manning 1997,10.1016/S0304-3770(97)00008-9,Amphibolis antarctica,Light-saturated net photosynthesis,15.32020284,Figure 2e
Jamaludin et al. 2006,NA,Halophila ovalis,Light-saturated net photosynthesis,323.4476077,Table 1
Borum et al. 2016,10.1111/pce.12658,Halophila ovalis,Light-saturated net photosynthesis,98.51757445,Figure 2
Borum et al. 2016,10.1111/pce.12658,Halophila ovalis,Light-saturated net photosynthesis,87.99344187,Figure 2
Borum et al. 2016,10.1111/pce.12658,Amphibolis antarctica,Light-saturated net photosynthesis,26.66013627,Figure 2
Borum et al. 2016,10.1111/pce.12658,Amphibolis antarctica,Light-saturated net photosynthesis,29.40456206,Figure 2
Lamit & Tanaka 2021,10.1515/bot-2020-0079,Halophila ovalis,Light-saturated net photosynthesis,32.57560976,Figure 3a
Lamit & Tanaka 2021,10.1515/bot-2020-0079,Halophila ovalis,Light-saturated net photosynthesis,24.71707317,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,18.57598428,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,22.43137724,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,25.93627993,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,17.1740232,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,18.57598428,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,20.67892589,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,14.72059131,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,11.21568862,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,18.57598428,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,17.1740232,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,10.51470808,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,9.112747004,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,14.72059131,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,21.7303967,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,12.6176497,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,21.02941616,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,34.3480464,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,20.67892589,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,38.55392963,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,55.37746256,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,69.39707334,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,27.33824101,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,43.11030313,Figure 3a
Said et al. 2021,10.1016/j.ecss.2021.107414,Halophila ovalis,Light-saturated net photosynthesis,80.61276196,Figure 3a
Said et al. 2024,NA,Amphibolis antarctica,Light-saturated net photosynthesis,12.90573887,Table 2
Said et al. 2024,NA,Amphibolis antarctica,Light-saturated net photosynthesis,6.273623064,Table 2
Said et al. 2024,NA,Amphibolis antarctica,Light-saturated net photosynthesis,5.825507131,Table 2
Said et al. 2024,NA,Halophila ovalis,Light-saturated net photosynthesis,15.63747386,Table 2
Said et al. 2024,NA,Halophila ovalis,Light-saturated net photosynthesis,8.219697798,Table 2
Blum & Mills 1991,jstor.org/stable/24816800,Zostera marina,Detrital respiration,26.81744533,Figure 1c
Blum & Mills 1991,jstor.org/stable/24816800,Zostera marina,Detrital respiration,30.64020411,Figure 1c
