Group,Species,Light,Response,n,mu
Seaweed,Desmarestia anceps,Light,Chlorophyll,80000,154 (5 ± 0.9)
Seaweed,Durvillaea antarctica,Light,Photosynthesis,80000,59 (4.1 ± 0.87)
Seaweed,Durvillaea antarctica,Light,Chlorophyll,80000,95 (4.6 ± 0.9)
Seaweed,Ecklonia radiata,Light,Photosynthesis,80000,32 (3.5 ± 0.78)
Seaweed,Ecklonia radiata,Dark,Photosynthesis,80000,15 (2.7 ± 0.87)
Seaweed,Laminaria digitata,Light,Photosynthesis,80000,68 (4.2 ± 0.86)
Seaweed,Laminaria digitata,Light,Chlorophyll,80000,109 (4.7 ± 0.88)
Seaweed,Laminaria hyperborea,Light,Photosynthesis,80000,62 (4.1 ± 0.73)
Seaweed,Laminaria hyperborea,Light,Chlorophyll,80000,99 (4.6 ± 0.79)
Seaweed,Laminaria ochroleuca,Light,Photosynthesis,80000,68 (4.2 ± 0.74)
Seaweed,Laminaria ochroleuca,Light,Chlorophyll,80000,108 (4.7 ± 0.79)
Seaweed,Macrocystis pyrifera,Light,Photosynthesis,80000,60 (4.1 ± 0.84)
Seaweed,Macrocystis pyrifera,Light,Chlorophyll,80000,96 (4.6 ± 0.86)
Seaweed,Saccharina latissima,Light,Photosynthesis,80000,60 (4.1 ± 0.9)
Seaweed,Saccharina latissima,Light,Chlorophyll,80000,96 (4.6 ± 0.91)
Seaweed,Saccorhiza polyschides,Light,Chlorophyll,80000,87 (4.5 ± 0.92)
Seaweed,Sargassum fallax,Light,Photosynthesis,80000,30 (3.4 ± 0.82)
Seaweed,Sargassum spinuligerum,Light,Photosynthesis,80000,64 (4.2 ± 0.86)
Seaweed,Sargassum spinuligerum,Light,Chlorophyll,80000,102 (4.6 ± 0.89)
Seaweed,Scytothalia dorycarpa,Light,Photosynthesis,80000,45 (3.8 ± 0.95)
Seaweed,Ulva clathrata,Light,Chlorophyll,80000,85 (4.4 ± 0.94)
Seaweed,Ulva intestinalis,Light,Chlorophyll,80000,84 (4.4 ± 0.94)
Seaweed,Ulva reticulata,Light,Chlorophyll,80000,85 (4.4 ± 0.94)
Seagrass,Amphibolis antarctica,Light,Photosynthesis,80000,14 (2.6 ± 0.88)
Seagrass,Halophila ovalis,Light,Photosynthesis,80000,27 (3.3 ± 0.91)
Seagrass,Thalassia testudinum,Light,Chlorophyll,80000,26 (3.2 ± 0.87)
Seagrass,Zostera marina,Light,Chlorophyll,80000,26 (3.3 ± 0.87)
