"Parameter","Response","Treatment","First","Second","mean","sd","n","rounded","P"
"k","Photosynthesis","Light","Terrestrial","Seagrass",0.6028435178875,0.0639548519339883,80000,"0.6 ± 0.064",1
"mu","Photosynthesis","Light","Terrestrial","Seagrass",-18.495241486625,3.45183713340236,80000,"18 ± 3.5",1
"k","Photosynthesis","Light","Terrestrial","Seaweed",0.789177299326125,0.0569004269424413,80000,"0.79 ± 0.057",1
"mu","Photosynthesis","Light","Terrestrial","Seaweed",-272.823046844125,129.009732897366,80000,"270 ± 129",1
"k","Photosynthesis","Light","Seagrass","Seaweed",0.186333781438625,0.0303746971468862,80000,"0.19 ± 0.03",1
"mu","Photosynthesis","Light","Seagrass","Seaweed",-254.3278053575,129.053435469958,80000,"250 ± 129",1
"k","Photosynthesis","Dark","Terrestrial","Freshwater",-0.0626471522375,0.221291627704176,80000,"0.063 ± 0.22",0.52
"mu","Photosynthesis","Dark","Terrestrial","Freshwater",0.13873687475,0.870341912718626,80000,"0.14 ± 0.87",0.51
"k","Photosynthesis","Dark","Terrestrial","Seaweed",-1.18970730880163,2.55981618365449,80000,"1.2 ± 2.6",0.54
"mu","Photosynthesis","Dark","Terrestrial","Seaweed",-0.906642146575,9.31990888581353,80000,"0.91 ± 9.3",0.54
"k","Photosynthesis","Dark","Freshwater","Seaweed",-1.12706015656412,2.5678391315203,80000,"1.1 ± 2.6",0.54
"mu","Photosynthesis","Dark","Freshwater","Seaweed",-1.045379021325,9.34737622987275,80000,"1 ± 9.3",0.54
"k","Chlorophyll","Light","Terrestrial","Freshwater",-0.0481195512875,0.0956494271395642,80000,"0.048 ± 0.096",0.7
"mu","Chlorophyll","Light","Terrestrial","Freshwater",0.34684700475,0.725788092995225,80000,"0.35 ± 0.73",0.69
"k","Chlorophyll","Light","Terrestrial","Seagrass",0.46717248970625,0.107757304789082,80000,"0.47 ± 0.11",1
"mu","Chlorophyll","Light","Terrestrial","Seagrass",-9.9024255205,4.33530158712225,80000,"9.9 ± 4.3",1
"k","Chlorophyll","Light","Terrestrial","Seaweed",0.78773792595575,0.0636636284813741,80000,"0.79 ± 0.064",1
"mu","Chlorophyll","Light","Terrestrial","Seaweed",-565.66339653975,159.24500584059,80000,"570 ± 159",1
"k","Chlorophyll","Light","Freshwater","Seagrass",0.51529204099375,0.112423972704394,80000,"0.52 ± 0.11",1
"mu","Chlorophyll","Light","Freshwater","Seagrass",-10.24927252525,4.33310273008209,80000,"10 ± 4.3",1
"k","Chlorophyll","Light","Freshwater","Seaweed",0.83585747724325,0.0715770700033134,80000,"0.84 ± 0.072",1
"mu","Chlorophyll","Light","Freshwater","Seaweed",-566.0102435445,159.24741807139,80000,"570 ± 159",1
"k","Chlorophyll","Light","Seagrass","Seaweed",0.3205654362495,0.0867739848547524,80000,"0.32 ± 0.087",1
"mu","Chlorophyll","Light","Seagrass","Seaweed",-555.76097101925,159.269936246383,80000,"560 ± 159",1
"k","Chlorophyll","Dark","Terrestrial","Freshwater",0.47429076145,0.108265159309813,80000,"0.47 ± 0.11",1
"mu","Chlorophyll","Dark","Terrestrial","Freshwater",-2.34702848925,0.723286192233088,80000,"2.3 ± 0.72",1
"k","Chlorophyll","Dark","Terrestrial","Seagrass",0.6135138939625,0.1773265914763,80000,"0.61 ± 0.18",0.99
"mu","Chlorophyll","Dark","Terrestrial","Seagrass",-3.93734745875,1.75168643847916,80000,"3.9 ± 1.8",0.99
"k","Chlorophyll","Dark","Freshwater","Seagrass",0.1392231325125,0.1896148710233,80000,"0.14 ± 0.19",0.81
"mu","Chlorophyll","Dark","Freshwater","Seagrass",-1.5903189695,1.87340890512884,80000,"1.6 ± 1.9",0.81
