Group,Species,Experiment,Light,Response,n,mu
Seaweed,Desmarestia anceps,233,Light,Chlorophyll,80000,440 (6.2 ± 0.38)
Seaweed,Durvillaea antarctica,380,Light,Photosynthesis,80000,58 (4.1 ± 0.85)
Seaweed,Durvillaea antarctica,381,Light,Photosynthesis,80000,60 (4.1 ± 0.81)
Seaweed,Durvillaea antarctica,378,Light,Photosynthesis,80000,61 (4.2 ± 0.8)
Seaweed,Durvillaea antarctica,377,Light,Photosynthesis,80000,61 (4.2 ± 0.8)
Seaweed,Durvillaea antarctica,379,Light,Photosynthesis,80000,61 (4.2 ± 0.79)
Seaweed,Durvillaea antarctica,382,Light,Photosynthesis,80000,62 (4.2 ± 0.79)
Seaweed,Durvillaea antarctica,393,Light,Chlorophyll,80000,91 (4.5 ± 0.95)
Seaweed,Durvillaea antarctica,392,Light,Chlorophyll,80000,94 (4.6 ± 0.9)
Seaweed,Durvillaea antarctica,391,Light,Chlorophyll,80000,95 (4.6 ± 0.87)
Seaweed,Durvillaea antarctica,397,Light,Chlorophyll,80000,95 (4.6 ± 0.9)
Seaweed,Durvillaea antarctica,389,Light,Chlorophyll,80000,95 (4.6 ± 0.88)
Seaweed,Durvillaea antarctica,395,Light,Chlorophyll,80000,95 (4.6 ± 0.9)
Seaweed,Durvillaea antarctica,398,Light,Chlorophyll,80000,96 (4.6 ± 0.9)
Seaweed,Durvillaea antarctica,396,Light,Chlorophyll,80000,96 (4.6 ± 0.9)
Seaweed,Durvillaea antarctica,394,Light,Chlorophyll,80000,96 (4.6 ± 0.86)
Seaweed,Durvillaea antarctica,390,Light,Chlorophyll,80000,96 (4.6 ± 0.86)
Seaweed,Ecklonia radiata,354,Light,Photosynthesis,80000,8 (2.2 ± 0.37)
Seaweed,Ecklonia radiata,548,Light,Photosynthesis,80000,15 (2.7 ± 0.097)
Seaweed,Ecklonia radiata,350,Light,Photosynthesis,80000,34 (3.6 ± 0.68)
Seaweed,Ecklonia radiata,353,Light,Photosynthesis,80000,34 (3.6 ± 0.67)
Seaweed,Ecklonia radiata,352,Light,Photosynthesis,80000,35 (3.6 ± 0.67)
Seaweed,Ecklonia radiata,351,Light,Photosynthesis,80000,35 (3.6 ± 0.67)
Seaweed,Ecklonia radiata,349,Light,Photosynthesis,80000,35 (3.6 ± 0.66)
Seaweed,Ecklonia radiata,549,Light,Photosynthesis,80000,35 (3.7 ± 0.57)
Seaweed,Ecklonia radiata,547,Light,Photosynthesis,80000,48 (3.9 ± 0.081)
Seaweed,Ecklonia radiata,546,Dark,Photosynthesis,80000,14 (2.6 ± 0.07)
Seaweed,Laminaria digitata,532,Light,Photosynthesis,80000,68 (4.3 ± 0.67)
Seaweed,Laminaria digitata,107,Light,Photosynthesis,80000,68 (4.2 ± 0.84)
Seaweed,Laminaria digitata,108,Light,Photosynthesis,80000,68 (4.2 ± 0.85)
Seaweed,Laminaria digitata,535,Light,Photosynthesis,80000,79 (4.5 ± 0.66)
Seaweed,Laminaria digitata,527,Light,Chlorophyll,80000,110 (4.7 ± 0.79)
Seaweed,Laminaria digitata,538,Light,Chlorophyll,80000,120 (4.8 ± 0.72)
Seaweed,Laminaria hyperborea,432,Light,Photosynthesis,80000,8.8 (2.2 ± 0.038)
Seaweed,Laminaria hyperborea,429,Light,Photosynthesis,80000,8.8 (2.2 ± 0.038)
Seaweed,Laminaria hyperborea,433,Light,Photosynthesis,80000,8.8 (2.2 ± 0.038)
Seaweed,Laminaria hyperborea,424,Light,Photosynthesis,80000,11 (2.4 ± 0.047)
Seaweed,Laminaria hyperborea,454,Light,Photosynthesis,80000,13 (2.5 ± 0.08)
Seaweed,Laminaria hyperborea,430,Light,Photosynthesis,80000,14 (2.6 ± 0.067)
Seaweed,Laminaria hyperborea,427,Light,Photosynthesis,80000,18 (2.9 ± 0.081)
Seaweed,Laminaria hyperborea,533,Light,Photosynthesis,80000,29 (3.4 ± 0.29)
Seaweed,Laminaria hyperborea,462,Light,Photosynthesis,80000,58 (4 ± 0.79)
Seaweed,Laminaria hyperborea,459,Light,Photosynthesis,80000,60 (4.1 ± 0.68)
Seaweed,Laminaria hyperborea,463,Light,Photosynthesis,80000,60 (4.1 ± 0.75)
Seaweed,Laminaria hyperborea,109,Light,Photosynthesis,80000,62 (4.1 ± 0.74)
Seaweed,Laminaria hyperborea,110,Light,Photosynthesis,80000,62 (4.1 ± 0.74)
Seaweed,Laminaria hyperborea,460,Light,Photosynthesis,80000,68 (4.3 ± 0.62)
Seaweed,Laminaria hyperborea,457,Light,Photosynthesis,80000,69 (4.3 ± 0.61)
Seaweed,Laminaria hyperborea,452,Light,Photosynthesis,80000,71 (4.3 ± 0.56)
Seaweed,Laminaria hyperborea,483,Light,Photosynthesis,80000,72 (4.3 ± 0.59)
Seaweed,Laminaria hyperborea,484,Light,Photosynthesis,80000,72 (4.3 ± 0.59)
Seaweed,Laminaria hyperborea,481,Light,Photosynthesis,80000,72 (4.3 ± 0.58)
Seaweed,Laminaria hyperborea,496,Light,Photosynthesis,80000,72 (4.3 ± 0.59)
Seaweed,Laminaria hyperborea,489,Light,Photosynthesis,80000,72 (4.3 ± 0.58)
Seaweed,Laminaria hyperborea,479,Light,Photosynthesis,80000,72 (4.3 ± 0.59)
Seaweed,Laminaria hyperborea,490,Light,Photosynthesis,80000,72 (4.3 ± 0.58)
Seaweed,Laminaria hyperborea,482,Light,Photosynthesis,80000,73 (4.3 ± 0.59)
Seaweed,Laminaria hyperborea,495,Light,Photosynthesis,80000,73 (4.4 ± 0.59)
Seaweed,Laminaria hyperborea,480,Light,Photosynthesis,80000,73 (4.4 ± 0.59)
Seaweed,Laminaria hyperborea,494,Light,Photosynthesis,80000,73 (4.4 ± 0.59)
Seaweed,Laminaria hyperborea,493,Light,Photosynthesis,80000,73 (4.4 ± 0.59)
Seaweed,Laminaria hyperborea,488,Light,Photosynthesis,80000,73 (4.4 ± 0.59)
Seaweed,Laminaria hyperborea,486,Light,Photosynthesis,80000,73 (4.4 ± 0.58)
Seaweed,Laminaria hyperborea,492,Light,Photosynthesis,80000,73 (4.4 ± 0.58)
Seaweed,Laminaria hyperborea,491,Light,Photosynthesis,80000,73 (4.4 ± 0.58)
Seaweed,Laminaria hyperborea,485,Light,Photosynthesis,80000,73 (4.4 ± 0.59)
Seaweed,Laminaria hyperborea,487,Light,Photosynthesis,80000,73 (4.4 ± 0.59)
Seaweed,Laminaria hyperborea,449,Light,Photosynthesis,80000,74 (4.4 ± 0.55)
